date,All in QQQ,All in VGT,Top 5,Top 10,Top 15,Top 20,Top 25,Top 50,Top 75
2023-08-07,239011.95807318957,243416.32032645817,269459.28021413105,262961.4797095073,262097.68088700154,259364.43907917416,257782.29596602937,254145.04620010016,251218.17665115162
2023-08-08,236979.8149200878,241150.46233692896,268128.522408106,261370.40872387495,260358.32674794173,257571.44618897256,255910.00709213244,252172.48319282357,249243.1287897738
2023-08-09,235374.3320838775,238774.02280061896,265496.2748079963,258495.49129404718,257421.6735979398,254746.54007569415,253165.97287195435,249684.07902392477,246893.90978803587
2023-08-10,235809.32836860386,238998.21098725605,265603.52869263786,258685.54871095842,257546.84559230655,254905.1629654695,253300.47389003276,249850.3687974738,247082.2296874478
2023-08-11,234305.88178086723,237428.980663099,263922.22611731477,256909.46234708576,255767.75813722034,253096.98675309497,251386.2864180838,247886.3488302415,245163.75078882268
2023-08-14,236935.30755169244,240931.72319456516,268281.45494486793,261541.88266642953,260399.00679292058,257603.12231776235,255889.60997197262,252133.31724473095,249306.01675370982
2023-08-15,234421.0389687461,238549.8694069029,266133.31349663,259373.74829345345,258228.62981791384,255408.12727495504,253607.19258916492,249794.25702352094,246952.545955719
2023-08-16,232938.82588344454,237291.2869384391,265918.9211690429,258995.97104718984,257622.6723457259,254722.76253297608,252853.57826826148,248913.3560433705,246055.12188135475
2023-08-17,230394.40484920458,234696.75243371402,262931.06906562153,256505.18839161572,255223.80561597116,252344.86844800925,250511.5154708066,246559.01678601332,243713.9767981628
2023-08-18,230105.2606486008,235152.65173165634,263141.6066030851,256695.94000813947,255484.63611612644,252686.46082475813,250907.22148468156,246946.785705233,244076.60526795834
2023-08-21,233812.56940992724,239199.24716323114,268350.24393438845,262214.72656194615,260844.32232759302,257887.33895876832,256028.46617097026,251999.30062573592,248966.95208914304
2023-08-22,233478.50979924208,239289.30544346155,268679.5773656605,262183.1770487814,260666.69638228416,257666.98222350585,255768.22647645205,251651.54291077968,248638.98042092263
2023-08-23,238160.09555114887,244634.13266976248,274816.16691130464,268229.25402966904,266680.71982664656,263568.13945377676,261581.9922301358,257288.37966256696,254196.6764076781
2023-08-24,233069.2900068621,238954.73267519116,269381.5855846926,263009.1132926294,261284.21479702895,258204.2014067593,256202.82815685583,251915.15082395545,248865.8077607563
2023-08-25,234875.86855609785,241356.48435127846,271257.60971222364,264820.3938654995,263271.0103739051,260352.64923783217,258350.35629118918,254112.98963801307,251043.3193367054
2023-08-28,236643.8202301926,243210.03755801663,273331.04759193823,266976.4107509009,265407.7822844108,262434.536624674,260448.553913774,256154.64609058082,253059.55249390626
2023-08-29,241812.12019065014,248109.617292279,278929.26063028356,272397.04258553305,270841.1601067667,267806.3516249153,265748.50430059567,261247.86746060284,258048.857140666
2023-08-30,244160.65138716224,251155.39343035148,282835.01862174907,276095.62682257226,274296.17234579177,271195.58150083874,269104.2490882067,264450.8128792167,261223.06547992156
2023-08-31,244892.74711521468,252414.9446305135,282755.18744096917,276645.9665818865,275015.0017338906,271900.58657569386,269858.633009421,265263.13025423797,262079.45504877347
2023-09-01,244633.59159108234,253430.5708321123,283699.0676531979,277312.7221228679,275533.88611167547,272558.48227060976,270575.23280525405,266073.8393948276,262938.9357267471
2023-09-05,244944.60238560403,253861.74569238845,284989.502008651,278259.3440369888,276544.468859097,273542.0345122371,271493.24560204643,266870.40504499915,263678.84148708923
2023-09-06,243787.1412058392,251956.78388458997,280376.88691989426,274395.8465337243,273141.34897475527,270403.3944567588,268521.45834436576,264315.4657940673,261282.74904711175
2023-09-07,242043.67377634087,248185.77710138194,275544.1728140509,270188.96225201746,269063.78057542007,266434.2068554752,264585.185917652,260534.60779100758,257571.99550399376
2023-09-08,242381.92922641276,248504.79741105312,276721.0840320834,271051.66025388095,269846.9361186801,267127.6550279017,265198.0458541984,261022.93330612217,258021.83082268594
2023-09-11,245237.8906836852,249683.92773753693,278347.3713971789,272490.4400209254,271325.65192823845,268545.10315905325,266534.4173776761,262329.5735998579,259267.27286824497
2023-09-12,242518.5619425854,245309.11286572175,274303.0886495625,268353.9391574808,266569.5799342655,263885.04117395787,262009.89857225493,257968.79290254784,255006.83674229248
2023-09-13,244442.33417961816,246639.48507866357,275645.0488413415,269853.9708799931,268245.16023728845,265566.7897896767,263717.78029742773,259639.76060675157,256602.0092074416
2023-09-14,246441.22005608928,248366.7969100257,277035.469740793,271171.51922912133,269741.2638730701,267041.82562462165,265167.58465390635,261026.41807005616,258013.21441052965
2023-09-15,242221.3837123888,243848.33124498822,272816.7104378442,266713.4418890473,265336.17175488017,262621.4670592264,260665.6577372138,256448.2274937236,253519.10904920494
2023-09-18,242473.88396389005,244837.87243824147,274797.2343173116,268436.79816016566,266806.1636577388,263995.04965334665,262054.66554513384,257806.5820475464,254809.84404982819
2023-09-19,241957.10715452937,244403.0928652262,274849.90744386986,268418.02334513457,266712.23037179915,263789.2871664073,261779.21893994216,257477.04086707786,254494.55956664792
2023-09-20,239470.38648958056,241805.4956265498,270004.90945164516,263977.3456235897,262634.14492581104,259992.75088939635,258100.97841596536,254034.0371640276,251222.7054849219
2023-09-21,235082.2199031885,237796.69993904204,267123.75975511514,260405.67258906466,258868.76814492844,256078.9854898002,254135.29430414704,250063.9140030536,247329.6326997308
2023-09-22,235115.0667739431,238457.1487700558,267277.45166600303,260703.45044258906,259255.82036600006,256488.04819157353,254586.10012963598,250554.0514328124,247831.74299231434
2023-09-25,236231.7788231237,239404.83918087016,268647.7780783415,261963.03460463518,260487.13014274795,257694.51533895265,255763.65873982353,251631.91840526683,248863.16900014272
