etf,top_n,when,date,rank,ticker,share_of_each_1000
QQQ,75,first purchase,2020-01-02,10,PEP,22.850674941305577
QQQ,75,first purchase,2020-01-02,11,ADBE,19.142832618440924
QQQ,75,first purchase,2020-01-02,12,NVDA,17.266343937130813
QQQ,75,first purchase,2020-01-02,13,AMGN,17.17480459131777
QQQ,75,first purchase,2020-01-02,14,NFLX,17.002769148929698
QQQ,75,first purchase,2020-01-02,15,COST,15.569187872517908
QQQ,75,first purchase,2020-01-02,16,PYPL,15.229060879558004
QQQ,75,first purchase,2020-01-02,17,AVGO,15.030474967809136
QQQ,75,first purchase,2020-01-02,18,TXN,14.378958598273762
QQQ,75,first purchase,2020-01-02,19,CHTR,12.492073514064007
QQQ,75,first purchase,2020-01-02,20,SBUX,12.449869101943234
QQQ,75,first purchase,2020-01-02,21,QCOM,12.07953964243848
QQQ,75,first purchase,2020-01-02,22,BKNG,10.307118534017231
QQQ,75,first purchase,2020-01-02,23,GILD,9.857069159760494
QQQ,75,first purchase,2020-01-02,24,MDLZ,9.508909393065336
QQQ,75,first purchase,2020-01-02,25,FISV,9.426255830038864
QQQ,75,first purchase,2020-01-02,26,TSLA,9.040887105187576
QQQ,75,first purchase,2020-01-02,27,ADP,8.845774926460795
QQQ,75,first purchase,2020-01-02,28,ISRG,8.191932280846686
QQQ,75,first purchase,2020-01-02,29,INTU,8.175176443344611
QQQ,75,first purchase,2020-01-02,30,TMUS,8.044731258453265
QQQ,75,first purchase,2020-01-02,31,MU,7.13863870538981
QQQ,75,first purchase,2020-01-02,32,CSX,6.787655360295856
QQQ,75,first purchase,2020-01-02,33,AMAT,6.760794630488166
QQQ,75,first purchase,2020-01-02,34,VRTX,6.750845473474178
QQQ,75,first purchase,2020-01-02,35,BIIB,6.419830386320303
QQQ,75,first purchase,2020-01-02,36,WBA,6.309764510132218
QQQ,75,first purchase,2020-01-02,37,AMD,6.123518114932773
QQQ,75,first purchase,2020-01-02,38,MAR,5.9361394163531
QQQ,75,first purchase,2020-01-02,39,ILMN,5.847147961676986
QQQ,75,first purchase,2020-01-02,40,ATVI,5.4735437460842205
QQQ,75,first purchase,2020-01-02,41,EXC,5.3138813215589815
QQQ,75,first purchase,2020-01-02,42,ADI,5.248009807159305
QQQ,75,first purchase,2020-01-02,43,LRCX,5.086375281438563
QQQ,75,first purchase,2020-01-02,44,ROST,5.049405613889307
QQQ,75,first purchase,2020-01-02,45,REGN,4.859875928115168
QQQ,75,first purchase,2020-01-02,46,ADSK,4.830313167650457
QQQ,75,first purchase,2020-01-02,47,KHC,4.7044743776365205
QQQ,75,first purchase,2020-01-02,48,NXPI,4.265236204151221
QQQ,75,first purchase,2020-01-02,49,BIDU,4.190403769225343
QQQ,75,first purchase,2020-01-02,50,MNST,4.097024956732071
QQQ,75,first purchase,2020-01-02,51,XEL,4.082115370147073
QQQ,75,first purchase,2020-01-02,52,CTSH,4.0718875657600195
QQQ,75,first purchase,2020-01-02,53,ORLY,3.9757776686233157
QQQ,75,first purchase,2020-01-02,54,JD,3.915448420578643
QQQ,75,first purchase,2020-01-02,55,SIRI,3.7924607129105494
QQQ,75,first purchase,2020-01-02,56,EA,3.763809997608896
QQQ,75,first purchase,2020-01-02,57,PAYX,3.650620252495747
QQQ,75,first purchase,2020-01-02,58,EBAY,3.5222931390984242
QQQ,75,first purchase,2020-01-02,59,LULU,3.420603854524054
QQQ,75,first purchase,2020-01-02,60,MELI,3.4089431982942737
QQQ,75,first purchase,2020-01-02,61,KLAC,3.3709733844526677
QQQ,75,first purchase,2020-01-02,62,CTAS,3.3392215472548394
QQQ,75,first purchase,2020-01-02,63,PCAR,3.28035780747391
QQQ,75,first purchase,2020-01-02,64,WDAY,3.2337270032218024
QQQ,75,first purchase,2020-01-02,65,WTW,3.113139419214989
QQQ,75,first purchase,2020-01-02,66,MCHP,3.000645640147693
QQQ,75,first purchase,2020-01-02,67,XLNX,2.947917570361325
QQQ,75,first purchase,2020-01-02,68,VRSK,2.934267607294973
QQQ,75,first purchase,2020-01-02,69,ALXN,2.869565206212301
