date,All in QQQ,All in VGT,Top 5,Top 10,Top 15,Top 20,Top 25,Top 50,Top 75
2022-11-03,150187.26970005344,156058.5832781674,149123.29228976485,143878.5815718466,145025.4969149061,147936.72673429656,149039.4016628781,150958.1087325111,152117.72775290458
2022-11-04,152603.024430208,158084.76430700888,151036.4521748593,146103.07602997508,147153.1714119843,150175.07095357717,151356.75724702343,153529.79538547597,154673.9280732302
2022-11-07,154280.85483453528,160426.578140825,152413.54412923788,147609.12517763328,148643.17132574992,151756.0726554666,152968.83542260635,155172.16334708527,156329.3981781031
2022-11-08,155405.131644101,161918.13434298427,152518.53937669608,147893.366274021,149037.62638407008,152357.3572194825,153763.75517073178,156132.8089891154,157381.97444532654
2022-11-09,153141.46913678476,158928.71911879053,149289.91983293314,144986.8115470418,146236.94322700598,149604.35596721777,151044.4480034387,153586.55315759676,154902.40827833678
2022-11-10,164441.53778281188,172393.97075578745,162828.58155217645,157960.1280169234,158658.50746027115,161834.01510140428,163133.5730380838,165300.25433356114,166628.0004236161
2022-11-11,167471.54103986296,175910.44155369292,166614.18207186586,161619.55020391982,162086.05960757952,165134.67195275988,166357.19842511273,168417.60957637595,169665.91631683166
2022-11-14,166005.97087371434,174231.7644626884,164034.76303677188,159513.08129345198,160208.5601816332,163311.95517168747,164580.1735831183,166732.0641260109,168012.493066609
2022-11-15,168303.20722102287,176747.16663603604,165670.75060781869,161549.0136732108,162241.73752200388,165444.929746388,166734.80440700997,168951.6831108594,170334.62058603214
2022-11-16,167328.47087371434,175056.3275800523,165595.44910657496,161140.94140138308,161726.38091502813,164763.92410596614,165964.7617199225,168057.32605780117,169400.73311782817
2022-11-17,166959.15943634693,174958.0209551227,165523.8128157385,160850.41283700327,161639.5033796912,164786.51813489394,165967.33899017796,167974.25821347706,169232.07424014513
2022-11-18,166965.0029137796,175154.601893848,165243.59609233023,160382.63520084586,161267.1065533612,164473.90489875575,165671.60738897478,167785.77677875265,169157.88080403782
2022-11-21,165247.46018323823,173070.03293389836,162608.30140741717,157813.13791788527,158861.1076882644,162125.08823696716,163382.43466259303,165738.35385244407,167220.43846833194
2022-11-22,167627.45908266783,176168.39603149524,164753.5085452458,160187.19265305882,161296.5661745473,164687.92834854525,165973.7865697968,168355.68227684117,169800.75683812448
2022-11-23,170632.36767616883,179373.76273799437,168100.41013852652,163728.9338511268,164778.38534036366,168086.48583464514,169322.68495457983,171464.85851272536,172883.85953523882
2022-11-25,169509.90849384698,178248.14468818842,166357.39348477498,162074.92377996581,163235.31077901693,166589.68709864805,167880.5406868943,170141.8468813547,171622.1486720062
2022-11-28,167022.63154718126,174480.59560982912,163330.71280868433,159260.7902407056,160597.72660428722,163928.0824083768,165220.43850164957,167550.48373563658,169069.7502419514
2022-11-29,165758.35345664085,172865.1969936147,161092.11899277795,157329.74854738213,158848.93476161253,162273.30350227375,163623.51898162128,166171.3685256818,167757.7841370036
2022-11-30,174637.0948533459,182634.73131211288,171343.32480864017,167533.12914931602,168773.21935494334,172133.56999345878,173403.95506414695,175596.29226220213,177110.34983939427
2022-12-01,174851.39066145322,183280.37082222124,171178.64614577687,167501.3546408037,168720.5972468261,171879.77123780287,173209.8090581025,175504.4656161123,177118.86952018103
2022-12-02,174154.85487683763,182251.58060898093,170671.20626270556,166884.62334638924,168014.61164557718,171095.34382719596,172445.92512838365,174811.38085664707,176429.952485852
2022-12-05,171231.93074210684,178781.96090045184,167595.34228571536,163943.16875714305,165064.66494012403,168158.29255694794,169491.84518601926,171875.7381905858,173443.40559977776
2022-12-06,167683.97716706293,174897.6642895643,163390.14106079852,159741.82809863082,161107.57170357316,164273.13535216663,165657.72180677616,168291.9458810978,169961.56024397985
2022-12-07,168321.86530718667,175422.3038955152,163156.24627002503,159593.84693149364,161056.79537182866,164274.77012333603,165753.25262726852,168619.24063811373,170365.9960236327
2022-12-08,170313.94943442373,178479.29211150933,164938.92659666686,161431.40035160634,162920.0957687926,166088.3526453883,167589.33038983683,170584.21271639984,172386.68716507623
2022-12-09,169227.87284800012,177395.07976230135,164116.41988433665,160738.9618593764,162356.19809391556,165501.59838500444,166891.89535054675,169670.53549337015,171330.96854777963
2022-12-12,171351.89636236322,181287.70521619273,166528.30682004202,162786.7640397392,164396.2015837069,167544.76902281892,168917.30037752053,171695.72308759796,173393.84135828988
2022-12-13,173194.02294828522,183450.89345060778,168617.67474730028,165037.79029814492,166467.95971647731,169512.9330384201,170842.15411643,173609.72190338266,175259.37786474449
2022-12-14,173232.41541020252,183403.5212529218,168485.0469909616,164874.94218690225,166241.76018096076,169253.93179562944,170479.89230494786,173307.3789327438,175037.78936502163
2022-12-15,167415.9204361308,176456.2090557694,162123.91787237278,158709.74754429367,160213.23858802253,163204.68374053866,164428.62867902845,167317.38906559147,169089.6014567426
2022-12-16,165819.6930632298,174148.92410840682,159854.0873706873,156752.10937533915,158474.0395986415,161544.36449079166,162758.8426169916,165695.5366292354,167506.33128612285
2022-12-19,163489.33524348677,171638.71242746979,156776.3572325431,153844.757241261,155758.416527903,158947.2728901152,160261.40105423788,163359.03851826963,165226.3059453249
2022-12-20,163362.08672177893,172017.92718516864,156678.61378292125,153655.47136468976,155557.32672128492,158651.33509642567,159953.59992461957,163104.24103609097,164979.389735114
2022-12-21,167054.28105558216,176064.2809831191,160575.95347660145,157399.1441293278,159284.09435419933,162459.89843818426,163778.4476358504,166954.76497246046,168867.5162247123
2022-12-22,162967.27980856292,171700.0718615072,155976.89273103827,152721.81385308347,154860.60756603128,158109.37587742813,159459.76823794178,162747.5834096167,164710.08694532444
2022-12-23,163333.82709100583,171764.6663342757,156466.78298773017,153266.60521486253,155387.25759310997,158614.40155933288,159961.1830600292,163184.7143971586,165158.52564157
2022-12-27,161024.61920482444,170085.69621922425,153595.77148396897,150003.73086823654,152310.18075592263,155704.1222684868,157176.5070408518,160667.64781764132,162791.67307131313
2022-12-28,160221.15639328666,168733.68663456154,152175.56335471023,148939.77620442922,151312.59737909527,154683.63008809712,156183.52642291607,159734.21002191052,161879.88213716866
2022-12-29,164126.5633548223,173333.05929478531,156800.48736071464,153489.4095159668,155677.6849852553,158988.7962166569,160457.88250969475,163884.82660765343,165998.26326552307
2022-12-30,164027.95651454868,173240.83460548008,156684.59586210837,153404.86681881495,155627.82379290732,158972.92942600092,160439.4566790913,163796.2424171266,165867.35182258755
2023-01-03,162919.2008474488,171581.2295240987,154466.1192550137,151640.62936216738,154056.66360327922,157373.98474210248,158930.12403414163,162458.015909313,164609.50575388974
2023-01-04,165216.1990535517,173845.1063632575,154456.56349065728,152467.294649225,155359.35308140132,159051.5788851649,160816.42185002987,164817.2880622901,167082.64046133263
2023-01-05,162629.88059830797,170244.77718760842,151345.55312293753,149427.65875677054,152499.77578596465,156337.61032302649,158158.85021335635,162325.0701239978,164588.2472379467
