key,symbol
00108J109|US00108J1097,ACMR
750102105|US7501021056,RXT
750917106|US7509171069,RMBS
750940108|US7509401086,RAL
753422104|US7534221046,RPD
75606N109|US75606N1090,RP
75644T100|US75644T1007,RCAT
75704L104|US75704L1044,RDVT
75886F107|US75886F1075,REGN
759419104|US7594191048,REKR
75960P104|US75960P1049,RELY
76029L100|US76029L1008,RPAY
762544104|US7625441040,RBBN
76655K103|US76655K1034,RGTI
76674Q107|US76674Q1076,RMNI
76680R206|US76680R2067,RNG
767292105|US7672921050,RIOT
76954A103|US76954A1034,RIVN
773121108|US7731211089,RKLB
775133101|US7751331015,ROG
776696106|US7766961061,ROP
777780107|US7777801074,RST
778296103|US7782961038,ROST
781154109|US7811541090,RBRK
78463M107|US78463M1071,SPSC
78467J100|US78467J1007,SSNC
78573M104|US78573M1045,SABR
79466L302|US79466L3024,CRM
79589L106|US79589L1061,IOT
80004C200|US80004C2008,SNDK
801056102|US8010561020,SANM
806037107|US8060371072,SCSC
806407102|US8064071025,HSIC
808625107|US8086251076,SAIC
816850101|US8168501018,SMTC
81730H109|US81730H1095,S
81762P102|US81762P1021,NOW
81764X103|US81764X1037,TTAN
82452J109|US82452J1097,FOUR
82509L107|CA82509L1076,SHOP
82536T107|US82536T1079,SSTI
826919102|US8269191024,SLAB
82982T106|US82982T1060,SITM
83088M102|US83088M1027,SWKS
83088V102|US83088V1026,WORK
83089J108|US83089J1088,
83193G107|US83193G1076,SMRT
833445109|US8334451098,SNOW
83417M104|US83417M1045,SEDG
836100107|US8361001071,SOUN
85208T107|US85208T1079,CXM
85209W109|US85209W1099,SPT
852234103|US8522341036,XYZ
855244109|US8552441094,SBUX
86800U302|US86800U3023,SMCI
87157D109|US87157D1090,SYNA
871607107|US8716071076,SNPS
87162W100|US87162W1009,SNX
872590104|US8725901040,TMUS
87305R109|US87305R1095,TTMI
874054109|US8740541094,TTWO
87652V109|US87652V1098,TASK
879360105|US8793601050,TDY
87969B101|US87969B1017,TLS
88025T102|US88025T1025,TENB
88076W103|US88076W1036,TDC
880770102|US8807701029,TER
88080T104|US88080T1043,WULF
88160R101|US88160R1014,TSLA
882508104|US8825081040,TXN
88339J105|US88339J1051,TTD
884903881|CA8849038812,TRI
88554D205|US88554D2053,DDD
888787108|US8887871080,TOST
896239100|US8962391004,TRMB
89677Q107|US89677Q1076,TCOM
89854H102|US89854H1023,TTEC
898697206|US8986972060,TCX
90138F102|US90138F1021,TWLO
902252105|US9022521051,TYL
90353W103|US90353W1036,UI
90364P105|US90364P1057,PATH
90384S303|US90384S3031,ULTA
90385V107|US90385V1070,UCTT
909214306|US9092143067,UIS
910047109|US9100471096,UAL
91332U101|US91332U1016,U
91347P105|US91347P1057,OLED
922280102|US9222801022,VRNS
922417100|US9224171002,VECO
92343E102|US92343E1029,VRSN
92345Y106|US92345Y1064,VRSK
92347M100|US92347M1009,VERI
92511U102|US92511U1025,VRRM
92532F100|US92532F1003,VRTX
92538J106|US92538J1060,VERX
92552V100|US92552V1008,VSAT
925550105|US9255501051,VIAV
92826C839|US92826C8394,V
928298108|US9282981086,VSH
92835K103|US92835K1034,VPG
928881101|US9288811014,VNT
92971A109|US92971A1097,MAPS
931142103|US9311421039,WMT
931427108|US9314271084,WBA
934423104|US9344231041,WBD
94724R108|US94724R1086,WEAV
958102105|US9581021055,WDC
959802109|US9598021098,WU
96208T104|US96208T1043,WEX
98138H101|US98138H1014,WDAY
98139A105|US98139A1051,WK
983134107|US9831341071,WYNN
98389B100|US98389B1008,XEL
98421M106|US98421M1062,XRX
98423J101|US98423J1016,XPER
98585N106|US98585N1063,YEXT
989207105|US9892071054,ZBRA
98956A105|US98956A1051,ZETA
98974P100|US98974P1003,ZIXI
98980G102|US98980G1022,ZS
98980L101|US98980L1017,ZM
G037AX101|KYG037AX1015,AMBA
G1144A105|KYG1144A1058,BTBT
G1151C101|IE00B4BNMY34,ACN
G17766109|KYG177661090,CMBMF
G1991C105|GB00BYT18414,CATM
G25457105|KYG254571055,CRDO
G25839104|GB00BDCPN049,CCEP
G3323L100|KYG3323L1005,FN
G39387108|KYG393871085,GFS
G4740B105|KYG4740B1059,ICHR
G54950103|IE000S9YS762,LIN
G6331P104|BMG6331P1041,AOSL
G7997R103|IE00BKVD2N49,STX
G87052109|IE000IVNQZ81,TEL
G96629103|IE00BDB6Q211,WTW
M22465104|IL0010824113,CHKP
M6191J100|IL0011684185,FROG
M7S64L123|IL0011858912,PGY
N/A|AU0000185993,IREN
N/A|BMG6331P1041,AOSL
N/A|GB00BYT18414,CATM
N/A|IE00B4BNMY34,ACN
N/A|KYG037AX1015,AMBA
N/A|KYG3323L1005,FN
N/A|KYG4740B1059,ICHR
N/A|NL0013056914,ESTC
N/A|NL0015001FS8,FER
N/A|SG9999000020,FLEX
N07059210|USN070592100,ASML
N14506104|NL0013056914,ESTC
N3168P101|NL0015001FS8,FER
N59465109|NL0011031208,MYL
N6596X109|NL0009538784,NXPI
N97284108|NL0009805522,NBIS
Y2573F102|SG9999000020,FLEX
